Date,Year,Month Name,Month,Quarter,Week of Year,End of Week,Day of Week,Day Name,IsHoliday
1/1/2022,2022,January,1,Q1,1,1/1/2022,5,Saturday,1
1/2/2022,2022,January,1,Q1,1,1/8/2022,6,Sunday,0
1/3/2022,2022,January,1,Q1,2,1/8/2022,0,Monday,1
1/4/2022,2022,January,1,Q1,2,1/8/2022,1,Tuesday,0
1/5/2022,2022,January,1,Q1,2,1/8/2022,2,Wednesday,0
1/6/2022,2022,January,1,Q1,2,1/8/2022,3,Thursday,0
1/7/2022,2022,January,1,Q1,2,1/8/2022,4,Friday,0
1/8/2022,2022,January,1,Q1,2,1/8/2022,5,Saturday,0
1/9/2022,2022,January,1,Q1,2,1/15/2022,6,Sunday,0
1/10/2022,2022,January,1,Q1,3,1/15/2022,0,Monday,0
1/11/2022,2022,January,1,Q1,3,1/15/2022,1,Tuesday,0
1/12/2022,2022,January,1,Q1,3,1/15/2022,2,Wednesday,0
1/13/2022,2022,January,1,Q1,3,1/15/2022,3,Thursday,0
1/14/2022,2022,January,1,Q1,3,1/15/2022,4,Friday,0
1/15/2022,2022,January,1,Q1,3,1/15/2022,5,Saturday,0
1/16/2022,2022,January,1,Q1,3,1/22/2022,6,Sunday,0
1/17/2022,2022,January,1,Q1,4,1/22/2022,0,Monday,0
1/18/2022,2022,January,1,Q1,4,1/22/2022,1,Tuesday,0
1/19/2022,2022,January,1,Q1,4,1/22/2022,2,Wednesday,0
1/20/2022,2022,January,1,Q1,4,1/22/2022,3,Thursday,0
1/21/2022,2022,January,1,Q1,4,1/22/2022,4,Friday,0
1/22/2022,2022,January,1,Q1,4,1/22/2022,5,Saturday,0
1/23/2022,2022,January,1,Q1,4,1/29/2022,6,Sunday,0
1/24/2022,2022,January,1,Q1,5,1/29/2022,0,Monday,0
1/25/2022,2022,January,1,Q1,5,1/29/2022,1,Tuesday,0
1/26/2022,2022,January,1,Q1,5,1/29/2022,2,Wednesday,0
1/27/2022,2022,January,1,Q1,5,1/29/2022,3,Thursday,0
1/28/2022,2022,January,1,Q1,5,1/29/2022,4,Friday,0
1/29/2022,2022,January,1,Q1,5,1/29/2022,5,Saturday,0
1/30/2022,2022,January,1,Q1,5,2/5/2022,6,Sunday,0
1/31/2022,2022,January,1,Q1,6,2/5/2022,0,Monday,0
2/1/2022,2022,February,2,Q1,6,2/5/2022,1,Tuesday,0
2/2/2022,2022,February,2,Q1,6,2/5/2022,2,Wednesday,0
2/3/2022,2022,February,2,Q1,6,2/5/2022,3,Thursday,0
2/4/2022,2022,February,2,Q1,6,2/5/2022,4,Friday,0
2/5/2022,2022,February,2,Q1,6,2/5/2022,5,Saturday,0
2/6/2022,2022,February,2,Q1,6,2/12/2022,6,Sunday,0
2/7/2022,2022,February,2,Q1,7,2/12/2022,0,Monday,0
2/8/2022,2022,February,2,Q1,7,2/12/2022,1,Tuesday,0
2/9/2022,2022,February,2,Q1,7,2/12/2022,2,Wednesday,0
2/10/2022,2022,February,2,Q1,7,2/12/2022,3,Thursday,0
2/11/2022,2022,February,2,Q1,7,2/12/2022,4,Friday,0
2/12/2022,2022,February,2,Q1,7,2/12/2022,5,Saturday,0
2/13/2022,2022,February,2,Q1,7,2/19/2022,6,Sunday,0
2/14/2022,2022,February,2,Q1,8,2/19/2022,0,Monday,0
2/15/2022,2022,February,2,Q1,8,2/19/2022,1,Tuesday,0
2/16/2022,2022,February,2,Q1,8,2/19/2022,2,Wednesday,0
2/17/2022,2022,February,2,Q1,8,2/19/2022,3,Thursday,0
2/18/2022,2022,February,2,Q1,8,2/19/2022,4,Friday,0
2/19/2022,2022,February,2,Q1,8,2/19/2022,5,Saturday,0
2/20/2022,2022,February,2,Q1,8,2/26/2022,6,Sunday,0
2/21/2022,2022,February,2,Q1,9,2/26/2022,0,Monday,0
2/22/2022,2022,February,2,Q1,9,2/26/2022,1,Tuesday,0
2/23/2022,2022,February,2,Q1,9,2/26/2022,2,Wednesday,0
2/24/2022,2022,February,2,Q1,9,2/26/2022,3,Thursday,0
2/25/2022,2022,February,2,Q1,9,2/26/2022,4,Friday,0
2/26/2022,2022,February,2,Q1,9,2/26/2022,5,Saturday,0
2/27/2022,2022,February,2,Q1,9,3/5/2022,6,Sunday,0
2/28/2022,2022,February,2,Q1,10,3/5/2022,0,Monday,0
3/1/2022,2022,March,3,Q1,10,3/5/2022,1,Tuesday,0
